benchmark,model_id,effort,planned,primary_metric,primary,secondary_metric,secondary,primary_percent,secondary_percent,api_completed,attempts,retry_observations,capability_failure_observations,metered_lower_bound_usd,conservative_upper_bound_usd,unpriced_usage_missing_attempts,ttft_ms_p50,ttft_ms_p95,end_to_end_ms_p50,end_to_end_ms_p95,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,cache_write_input_tokens,primary_cost_per_success_usd,secondary_cost_per_success_usd
mmlu_pro,gpt-4.1-2025-04-14,omitted,140,task success,0.828571,,,82.85709999999999,,140,140,0,0,0.364266,0.364266,0,524.215,1024.265,1924.254,5962.207,30057,38019,0,0,0,0.0031402241379310343,
humaneval,gpt-4.1-2025-04-14,omitted,164,task success,0.963415,,,96.3415,,164,164,0,0,0.277104,0.277104,0,502.37,1040.441,1429.499,2824.213,28284,27567,0,0,0,0.0017538227848101268,
classification-routing,openai.gpt-5.6-luna,none,192,task success,1.0,,,100.0,,192,192,0,0,0.01735602,0.01735602,0,289.234,416.996,291.928,418.672,71019,1312,0,0,0,9.03959375e-05,
structured-document-extraction,openai.gpt-5.6-luna,none,192,address-normalized document accuracy,0.9166666666666666,strict document accuracy,0.84375,91.66666666666666,84.375,192,192,0,0,0.119679615,0.119679615,0,457.773,600.942,1303.153,1649.64,172794,61736,0,0,3153,0.0006799978125,0.0007387630555555556
banking77,openai.gpt-5.6-luna,none,3080,exact-match accuracy,0.842532,,,84.25319999999999,,3080,3080,0,0,0.38947128,0.38947128,0,296.344,605.699,299.241,612.775,1621584,24790,0,0,0,0.00015008527167630057,
cord-ocr,openai.gpt-5.6-luna,none,100,entity F1,0.651268,,,65.1268,,100,100,0,0,0.0905036,0.0905036,0,459.148,677.646,947.858,1927.506,220184,22700,0,0,219984,,
cord-image,openai.gpt-5.6-luna,none,100,entity F1,0.562407,,,56.2407,,100,100,0,0,0.09323754,0.09323754,0,1275.849,3686.177,1787.156,4085.193,288357,22575,0,0,0,,
extractbench,openai.gpt-5.6-luna,none,370,mean unified-value F1,0.748683037,,,74.8683037,,362,370,0,8,2.352189785,2.352189785,0,1458.118,7277.819,4914.989,38515.078,6866362,799998,0,1828490,2684251,,
gsm8k,openai.gpt-5.6-luna,none,100,task success,0.98,,,98.0,,100,100,0,0,0.01636668,0.01636668,0,450.51,531.454,667.609,1006.244,8268,11021,0,0,0,0.00016700693877551022,
math500,openai.gpt-5.6-luna,none,100,task success,0.91,,,91.0,,100,100,0,0,0.02791096,0.02791096,0,447.202,669.282,907.178,2031.188,9466,19567,0,0,0,0.0003067138461538461,
aime,openai.gpt-5.6-luna,none,60,task success,0.4666666666666667,,,46.666666666666664,,60,60,0,0,0.04503004,0.04503004,0,453.112,507.879,2552.633,3729.003,10462,32370,0,0,0,0.0016082157142857142,
gpqa,openai.gpt-5.6-luna,none,198,task success,0.474747,,,47.4747,,198,198,0,0,0.012320275,0.012320275,0,295.466,614.465,297.533,615.204,45796,1584,0,0,2805,0.00013106675531914894,
mmlu_pro,openai.gpt-5.6-luna,none,140,task success,0.571429,,,57.1429,,140,140,0,0,0.00811162,0.00811162,0,295.335,446.734,298.629,451.148,29917,1159,0,0,0,0.00010139525,
humaneval,openai.gpt-5.6-luna,none,164,task success,0.945122,,,94.5122,,164,164,0,0,0.03662692,0.03662692,0,445.333,510.17,698.608,1184.989,28120,23061,0,0,0,0.00023630270967741934,
classification-routing,openai.gpt-5.6-luna,low,192,task success,1.0,,,100.0,,192,192,0,0,0.01827738,0.01827738,0,332.851,660.23,337.802,687.171,71019,2010,656,0,0,9.51946875e-05,
structured-document-extraction,openai.gpt-5.6-luna,low,192,address-normalized document accuracy,0.890625,strict document accuracy,0.7395833333333334,89.0625,73.95833333333334,192,192,0,0,0.141793575,0.141793575,0,1069.488,2975.291,1848.972,3576.739,172794,78489,16493,0,3153,0.0008292021929824562,0.0009985463028169014
banking77,openai.gpt-5.6-luna,low,3080,exact-match accuracy,0.837013,,,83.7013,,3080,3080,0,0,0.42926664,0.42926664,0,326.82,1242.196,331.606,1252.315,1621584,54938,29552,0,0,0.00016651149728471681,
cord-ocr,openai.gpt-5.6-luna,low,100,entity F1,0.791901,,,79.1901,,100,100,0,0,0.12662804,0.12662804,0,2253.186,3959.17,2946.265,4709.007,220184,50067,27084,0,219984,,
cord-image,openai.gpt-5.6-luna,low,100,entity F1,0.651618,,,65.1618,,100,100,0,0,0.080549766,0.080549766,0,4108.794,18781.345,4753.887,19170.936,288357,47600,24710,230913,0,,
extractbench,openai.gpt-5.6-luna,low,370,mean unified-value F1,0.752909638,,,75.2909638,,368,370,0,2,2.294217706,2.294217706,0,4681.36,9032.454,8204.585,21636.025,6963735,755724,152031,2430593,4470868,,
gsm8k,openai.gpt-5.6-luna,low,100,task success,0.97,,,97.0,,100,100,0,0,0.0228492,0.0228492,0,713.217,1285.738,1042.458,1689.722,8268,15932,5095,0,0,0.00023555876288659794,
math500,openai.gpt-5.6-luna,low,100,task success,0.97,,,97.0,,100,100,0,0,0.06111292,0.06111292,0,1096.178,8079.689,1545.391,9304.119,9466,44720,26263,0,0,0.0006300301030927835,
aime,openai.gpt-5.6-luna,low,60,task success,0.7333333333333333,,,73.33333333333333,,60,60,0,0,0.12970144,0.12970144,0,6036.745,19075.753,8094.449,21100.92,10462,96515,68269,0,0,0.0029477600000000002,
gpqa,openai.gpt-5.6-luna,low,198,task success,0.853535,,,85.35350000000001,,198,198,0,0,0.130707115,0.130707115,0,1881.966,11563.151,1882.693,11582.259,45796,91271,89297,0,2805,0.0007734148816568048,
mmlu_pro,openai.gpt-5.6-luna,low,140,task success,0.814286,,,81.42859999999999,,140,140,0,0,0.03512278,0.03512278,0,900.628,3972.04,901.253,3974.869,29917,21622,20264,0,0,0.00030809456140350877,
humaneval,openai.gpt-5.6-luna,low,164,task success,0.969512,,,96.9512,,164,164,0,0,0.06009256,0.06009256,0,876.388,3890.344,1200.332,4912.629,28120,40838,16734,0,0,0.00037794062893081764,
classification-routing,openai.gpt-5.6-luna,high,192,task success,1.0,,,100.0,,192,192,0,0,0.02309538,0.02309538,0,517.49,883.613,522.1,884.457,71019,5660,4100,0,0,0.0001202884375,
structured-document-extraction,openai.gpt-5.6-luna,high,192,address-normalized document accuracy,0.8854166666666666,strict document accuracy,0.7604166666666666,88.54166666666666,76.04166666666666,192,192,0,0,0.190570215,0.190570215,0,1697.51,6387.839,2580.889,7271.986,172794,115441,53326,0,3153,0.0011210012647058824,0.0013052754452054793
banking77,openai.gpt-5.6-luna,high,3080,exact-match accuracy,0.853247,,,85.32469999999999,,3080,3080,0,0,0.57799236,0.57799236,0,334.042,2134.198,338.072,2156.584,1621584,167609,140435,0,0,0.0002199362100456621,
cord-ocr,openai.gpt-5.6-luna,high,100,entity F1,0.841037,,,84.1037,,100,100,0,0,0.39442568,0.39442568,0,11584.592,33902.474,12157.531,34747.768,220184,252944,230155,0,219984,,
cord-image,openai.gpt-5.6-luna,high,100,entity F1,0.743889,,,74.3889,,100,100,0,0,0.299480852,0.299480852,0,8377.918,38477.93,9136.635,38996.136,288357,213123,190247,229171,1742,,
extractbench,openai.gpt-5.6-luna,high,370,mean unified-value F1,0.740019589,,,74.00195889999999,,326,370,0,44,5.179148667,5.179148667,0,29949.492,63684.063,37399.598,76296.194,6963735,2746200,1844287,1412796,5488665,,
gsm8k,openai.gpt-5.6-luna,high,100,task success,0.96,,,96.0,,100,100,0,0,0.0287562,0.0287562,0,878.249,1932.041,1093.86,2259.547,8268,20407,9552,0,0,0.00029954374999999997,
math500,openai.gpt-5.6-luna,high,100,task success,0.98,,,98.0,,100,100,0,0,0.08503528,0.08503528,0,1614.568,14029.56,1948.289,14475.343,9466,62843,45569,0,0,0.0008677069387755102,
aime,openai.gpt-5.6-luna,high,60,task success,0.9,,,90.0,,59,60,0,1,0.31717312,0.31717312,0,12391.105,69876.568,14172.156,72820.779,10462,238539,205636,0,0,0.005873576296296296,
gpqa,openai.gpt-5.6-luna,high,198,task success,0.873737,,,87.3737,,188,198,0,10,0.643222195,0.643222195,0,3158.091,52809.544,3461.177,87616.286,45796,479540,477569,0,2805,0.0037180473699421966,
mmlu_pro,openai.gpt-5.6-luna,high,140,task success,0.828571,,,82.85709999999999,,140,140,0,0,0.0916267,0.0916267,0,1060.775,9378.085,1063.084,9381.519,29917,64428,63026,0,0,0.0007898853448275862,
humaneval,openai.gpt-5.6-luna,high,164,task success,0.993902,,,99.3902,,164,164,0,0,0.08305264,0.08305264,0,1299.472,5812.049,1631.864,5947.26,28120,58232,37138,0,0,0.0005095253987730061,
classification-routing,openai.gpt-5.6-terra,none,192,task success,1.0,,,100.0,,192,192,0,0,0.1735602,0.1735602,0,349.965,510.791,353.381,513.746,71019,1312,0,0,0,0.000903959375,
structured-document-extraction,openai.gpt-5.6-terra,none,192,address-normalized document accuracy,0.9166666666666666,strict document accuracy,0.9166666666666666,91.66666666666666,91.66666666666666,192,192,0,0,1.19716575,1.19716575,0,565.035,859.403,1792.575,2347.08,172794,61764,0,0,3153,0.0068020781249999995,0.0068020781249999995
banking77,openai.gpt-5.6-terra,none,3080,exact-match accuracy,0.816558,,,81.6558,,3080,3080,0,0,3.8948316,3.8948316,0,359.87,632.882,367.38,638.534,1621584,24799,0,0,0,0.0015486407952286282,
cord-ocr,openai.gpt-5.6-terra,none,100,entity F1,0.805461,,,80.5461,,100,100,0,0,0.9059336,0.9059336,0,565.841,956.26,1258.091,2574.708,220184,22768,0,0,219984,,
cord-image,openai.gpt-5.6-terra,none,100,entity F1,0.733283,,,73.3283,,100,100,0,0,0.9355962,0.9355962,0,1389.802,3630.972,2217.423,4758.341,288357,22819,0,0,0,,
extractbench,openai.gpt-5.6-terra,none,370,mean unified-value F1,0.776866353,,,77.68663529999999,,364,370,0,6,24.0925982,24.0925982,0,1585.571,8126.71,8134.191,55354.656,6866362,828947,0,1753955,2758786,,
gsm8k,openai.gpt-5.6-terra,none,100,task success,0.95,,,95.0,,100,100,0,0,0.1427316,0.1427316,0,375.529,654.185,898.744,1454.101,8268,9435,0,0,0,0.001502437894736842,
math500,openai.gpt-5.6-terra,none,100,task success,0.92,,,92.0,,100,100,0,0,0.2880856,0.2880856,0,539.082,795.92,1310.135,4345.488,9466,20247,0,0,0,0.0031313652173913043,
aime,openai.gpt-5.6-terra,none,60,task success,0.5666666666666667,,,56.666666666666664,,60,60,0,0,0.5840032,0.5840032,0,547.173,798.977,4956.987,11347.17,10462,42499,0,0,0,0.01717656470588235,
gpqa,openai.gpt-5.6-terra,none,198,task success,0.545455,,,54.545500000000004,,198,198,0,0,0.12510355,0.12510355,0,370.812,694.265,381.327,707.915,45796,1728,0,0,2805,0.0011583662037037037,
mmlu_pro,openai.gpt-5.6-terra,none,140,task success,0.671429,,,67.14290000000001,,140,140,0,0,0.0812614,0.0812614,0,362.144,1255.723,370.644,1259.147,29917,1170,0,0,0,0.0008644829787234043,
humaneval,openai.gpt-5.6-terra,none,164,task success,0.963415,,,96.3415,,164,164,0,0,0.3368332,0.3368332,0,428.416,926.919,976.248,1930.019,28120,20831,0,0,0,0.0021318556962025316,
classification-routing,openai.gpt-5.6-terra,low,192,task success,1.0,,,100.0,,192,192,0,0,0.1878426,0.1878426,0,392.515,757.025,395.746,759.651,71019,2394,968,0,0,0.000978346875,
structured-document-extraction,openai.gpt-5.6-terra,low,192,address-normalized document accuracy,0.9010416666666666,strict document accuracy,0.8958333333333334,90.10416666666666,89.58333333333334,192,192,0,0,1.25184015,1.25184015,0,599.051,1982.175,1798.368,3608.377,172794,65906,4102,0,3153,0.007236070231213873,0.007278140406976745
banking77,openai.gpt-5.6-terra,low,3080,exact-match accuracy,0.841558,,,84.1558,,3080,3080,0,0,4.9440996,4.9440996,0,415.427,2006.77,424.118,2013.359,1621584,104289,77244,0,0,0.0019074458333333336,
cord-ocr,openai.gpt-5.6-terra,low,100,entity F1,0.841986,,,84.1986,,100,100,0,0,1.0552256,1.0552256,0,608.559,5122.906,1484.175,6308.132,220184,34078,11195,0,219984,,
cord-image,openai.gpt-5.6-terra,low,100,entity F1,0.749811,,,74.9811,,100,100,0,0,0.74411381,0.74411381,0,3955.016,14902.114,4816.348,15319.019,288357,42598,19720,229078,1835,,
extractbench,openai.gpt-5.6-terra,low,370,mean unified-value F1,0.78669855,,,78.669855,,367,370,0,3,26.440579,26.440579,0,7657.101,16745.406,13649.715,46106.962,6963735,990391,220586,2272175,4629286,,
gsm8k,openai.gpt-5.6-terra,low,100,task success,0.96,,,96.0,,100,100,0,0,0.1946076,0.1946076,0,784.232,1267.867,1128.91,1983.307,8268,13365,3919,0,0,0.0020271625,
math500,openai.gpt-5.6-terra,low,100,task success,0.99,,,99.0,,100,100,0,0,0.5278108,0.5278108,0,1308.989,13813.399,1889.784,14564.525,9466,38408,20527,0,0,0.005331422222222222,
aime,openai.gpt-5.6-terra,low,60,task success,0.9166666666666666,,,91.66666666666666,,60,60,0,0,1.3491412,1.3491412,0,10349.753,36450.936,13753.599,39889.801,10462,100464,66630,0,0,0.02452984,
gpqa,openai.gpt-5.6-terra,low,198,task success,0.838384,,,83.83840000000001,,198,198,0,0,1.11415315,1.11415315,0,1963.234,21238.352,1966.528,21239.325,45796,76656,74686,0,2805,0.0067117659638554214,
mmlu_pro,openai.gpt-5.6-terra,low,140,task success,0.85,,,85.0,,140,140,0,0,0.3073378,0.3073378,0,937.532,4692.872,939.192,4697.39,29917,18297,16961,0,0,0.0025826705882352943,
humaneval,openai.gpt-5.6-terra,low,164,task success,0.981707,,,98.1707,,164,164,0,0,0.389356,0.389356,0,585.001,2383.974,988.536,2967.928,28120,24810,5409,0,0,0.0024183602484472047,
classification-routing,openai.gpt-5.6-terra,high,192,task success,0.994792,,,99.4792,,192,192,0,0,0.2021646,0.2021646,0,446.13,751.104,449.451,753.825,71019,3479,2001,0,0,0.0010584534031413612,
structured-document-extraction,openai.gpt-5.6-terra,high,192,address-normalized document accuracy,0.953125,strict document accuracy,0.9114583333333334,95.3125,91.14583333333334,192,192,0,0,1.40861655,1.40861655,0,1177.287,2785.254,2176.858,4282.414,172794,77783,15793,0,3153,0.007697358196721312,0.008049237428571429
banking77,openai.gpt-5.6-terra,high,3080,exact-match accuracy,0.845455,,,84.54549999999999,,3080,3080,0,0,5.6830488,5.6830488,0,474.62,2160.668,478.543,2164.82,1621584,160270,132252,0,0,0.002182430414746544,
cord-ocr,openai.gpt-5.6-terra,high,100,entity F1,0.8504,,,85.04,,100,100,0,0,1.3861628,1.3861628,0,3574.208,8646.652,4178.759,9312.788,220184,59149,36329,0,219984,,
cord-image,openai.gpt-5.6-terra,high,100,entity F1,0.780377,,,78.0377,,100,100,0,0,0.97915686,0.97915686,0,4431.721,10030.081,5093.416,11559.119,288357,60756,38153,230913,0,,
extractbench,openai.gpt-5.6-terra,high,370,mean unified-value F1,0.786431245,,,78.6431245,,358,370,0,12,37.34598285,37.34598285,0,19100.419,45684.518,27344.767,85412.644,6963735,1644172,723846,1372770,5528691,,
gsm8k,openai.gpt-5.6-terra,high,100,task success,0.97,,,97.0,,100,100,0,0,0.1992936,0.1992936,0,796.282,1314.696,1140.187,1982.059,8268,13720,4655,0,0,0.0020545731958762884,
math500,openai.gpt-5.6-terra,high,100,task success,0.99,,,99.0,,100,100,0,0,0.581878,0.581878,0,1222.629,9990.47,2007.36,11644.145,9466,42504,24805,0,0,0.005877555555555556,
aime,openai.gpt-5.6-terra,high,60,task success,0.9833333333333333,,,98.33333333333333,,60,60,0,0,1.831918,1.831918,0,10637.858,70219.553,13689.222,74340.235,10462,137038,102988,0,0,0.031049457627118644,
gpqa,openai.gpt-5.6-terra,high,198,task success,0.883838,,,88.38380000000001,,198,198,0,0,2.54181235,2.54181235,0,2527.828,59404.55,2531.386,59484.983,45796,184812,182840,0,2805,0.014524641999999999,
mmlu_pro,openai.gpt-5.6-terra,high,140,task success,0.85,,,85.0,,140,140,0,0,0.3536434,0.3536434,0,865.803,6640.415,866.969,6641.98,29917,21805,20455,0,0,0.002971793277310924,
humaneval,openai.gpt-5.6-terra,high,164,task success,0.987805,,,98.7805,,164,164,0,0,0.4590784,0.4590784,0,604.582,4527.874,1095.507,5053.797,28120,30092,11145,0,0,0.002833817283950617,
classification-routing,openai.gpt-5.6-sol,none,192,task success,0.994792,,,99.4792,,192,192,0,0,0.310316,0.310316,0,457.764,1518.57,460.995,1524.508,71019,1312,0,0,0,0.0016246910994764396,
structured-document-extraction,openai.gpt-5.6-sol,none,192,address-normalized document accuracy,0.9791666666666666,strict document accuracy,0.9583333333333334,97.91666666666666,95.83333333333334,192,192,0,0,1.939689,1.939689,0,597.577,1523.245,2177.722,3345.43,172794,62268,0,0,3153,0.010317494680851063,0.01054178804347826
banking77,openai.gpt-5.6-sol,none,3080,exact-match accuracy,0.85974,,,85.97399999999999,,3080,3080,0,0,6.983116,6.983116,0,477.05,1566.334,483.789,1579.981,1621584,24839,0,0,0,0.002637128398791541,
cord-ocr,openai.gpt-5.6-sol,none,100,entity F1,0.886124,,,88.61240000000001,,100,100,0,0,1.55444,1.55444,0,728.362,1962.194,1675.472,3561.142,220184,22686,0,0,219984,,
cord-image,openai.gpt-5.6-sol,none,100,entity F1,0.810709,,,81.0709,,100,100,0,0,1.607168,1.607168,0,1869.463,4842.694,2900.427,7293.74,288357,22687,0,0,0,,
extractbench,openai.gpt-5.6-sol,none,370,mean unified-value F1,0.811038286,,,81.1038286,,341,370,0,29,48.0615218,48.0615218,0,2009.075,9180.351,8864.273,103346.188,6866362,1165780,0,1572232,2940509,,
gsm8k,openai.gpt-5.6-sol,none,100,task success,0.96,,,96.0,,100,100,0,0,0.226932,0.226932,0,585.728,1475.84,1104.378,1813.741,8268,9693,0,0,0,0.002363875,
math500,openai.gpt-5.6-sol,none,100,task success,0.95,,,95.0,,100,100,0,0,0.404844,0.404844,0,586.81,1468.813,1509.231,4775.119,9466,18349,0,0,0,0.004261515789473684,
aime,openai.gpt-5.6-sol,none,60,task success,0.6833333333333333,,,68.33333333333333,,60,60,0,0,0.855848,0.855848,0,583.432,2606.702,5788.596,14021.729,10462,40700,0,0,0,0.020874341463414634,
gpqa,openai.gpt-5.6-sol,none,198,task success,0.636364,,,63.6364,,198,198,0,0,0.231409,0.231409,0,497.389,1872.456,505.246,2057.152,45796,2271,0,0,2805,0.001836579365079365,
mmlu_pro,openai.gpt-5.6-sol,none,140,task success,0.807143,,,80.71430000000001,,140,140,0,0,0.146068,0.146068,0,462.607,1449.433,464.242,1472.004,29917,1320,0,0,0,0.001292637168141593,
humaneval,openai.gpt-5.6-sol,none,164,task success,0.981707,,,98.1707,,164,164,0,0,0.44222,0.44222,0,578.034,1443.853,1020.12,1914.878,28120,16487,0,0,0,0.0027467080745341614,
classification-routing,openai.gpt-5.6-sol,low,192,task success,1.0,,,100.0,,192,192,0,0,0.3497956,0.3497956,0,554.875,2373.424,557.152,2378.561,71019,1696,364,0,0,0.0018218520833333332,
structured-document-extraction,openai.gpt-5.6-sol,low,192,address-normalized document accuracy,0.9947916666666666,strict document accuracy,0.921875,99.47916666666666,92.1875,192,192,0,0,2.1743359,2.1743359,0,837.068,2919.559,2424.377,4624.503,172794,64117,1833,0,3153,0.011383957591623037,0.01228438361581921
banking77,openai.gpt-5.6-sol,low,3080,exact-match accuracy,0.858442,,,85.8442,,3080,3080,0,0,8.3554856,8.3554856,0,574.327,2590.474,579.562,2605.638,1621584,55478,30046,0,0,0.003160168532526475,
cord-ocr,openai.gpt-5.6-sol,low,100,entity F1,0.893489,,,89.3489,,100,100,0,0,1.91807,1.91807,0,1839.478,4722.353,2731.805,6499.891,220184,32149,9423,0,219984,,
cord-image,openai.gpt-5.6-sol,low,100,entity F1,0.81705,,,81.70500000000001,,100,100,0,0,1.12881362,1.12881362,0,4184.057,10754.577,5104.802,12019.291,288357,34684,11736,228658,2255,,
extractbench,openai.gpt-5.6-sol,low,370,mean unified-value F1,0.833923507,,,83.3923507,,360,370,0,10,54.19386082,54.19386082,0,8638.023,17848.327,15735.314,83855.391,6963735,1082092,142155,1550238,5351223,,
gsm8k,openai.gpt-5.6-sol,low,100,task success,0.95,,,95.0,,100,100,0,0,0.3391872,0.3391872,0,1239.505,3280.007,1792.181,4024.108,8268,13764,4140,0,0,0.003570391578947369,
math500,openai.gpt-5.6-sol,low,100,task success,1.0,,,100.0,,100,100,0,0,0.7378844,0.7378844,0,1837.197,11701.242,2616.325,12776.007,9466,31647,16947,0,0,0.007378844,
aime,openai.gpt-5.6-sol,low,60,task success,0.9833333333333333,,,98.33333333333333,,60,60,0,0,1.7344668,1.7344668,0,9915.525,32676.969,13078.409,38230.421,10462,76747,47489,0,0,0.02939774237288136,
gpqa,openai.gpt-5.6-sol,low,198,task success,0.89899,,,89.899,,198,198,0,0,1.4561679,1.4561679,0,3720.546,16202.196,3739.199,16205.65,45796,56890,54948,0,2805,0.008180718539325843,
mmlu_pro,openai.gpt-5.6-sol,low,140,task success,0.871429,,,87.1429,,140,140,0,0,0.3811588,0.3811588,0,1298.186,6158.372,1304.766,6161.138,29917,11342,10062,0,0,0.0031242524590163936,
humaneval,openai.gpt-5.6-sol,low,164,task success,0.993902,,,99.3902,,164,164,0,0,0.693352,0.693352,0,1739.393,7412.639,2177.46,7821.389,28120,25892,9167,0,0,0.004253693251533742,
classification-routing,openai.gpt-5.6-sol,high,192,task success,0.994792,,,99.4792,,192,192,0,0,0.3521276,0.3521276,0,627.216,2227.177,630.139,2229.571,71019,1802,468,0,0,0.0018436,
structured-document-extraction,openai.gpt-5.6-sol,high,192,address-normalized document accuracy,0.9895833333333334,strict document accuracy,0.84375,98.95833333333334,84.375,192,192,0,0,2.3008799,2.3008799,0,875.578,3405.54,2507.342,4983.128,172794,69869,7493,0,3153,0.012109894210526316,0.014202962345679013
banking77,openai.gpt-5.6-sol,high,3080,exact-match accuracy,0.862987,,,86.2987,,3080,3080,0,0,9.5810616,9.5810616,0,682.692,3793.446,694.483,3828.576,1621584,111186,85310,0,0,0.00360461309255079,
cord-ocr,openai.gpt-5.6-sol,high,100,entity F1,0.890489,,,89.0489,,100,100,0,0,2.678698,2.678698,0,4546.068,13539.985,5249.283,14554.051,220184,66723,44058,0,219984,,
cord-image,openai.gpt-5.6-sol,high,100,entity F1,0.826252,,,82.62519999999999,,100,100,0,0,2.00527558,2.00527558,0,6354.595,20120.257,7122.383,20860.032,288357,74784,51927,229792,1121,,
extractbench,openai.gpt-5.6-sol,high,370,mean unified-value F1,0.800629389,,,80.0629389,,332,375,5,38,78.10004906,115.46273706,4,29268.313,79309.167,38212.947,120692.921,6963735,2119240,1093894,1335034,5566427,,
gsm8k,openai.gpt-5.6-sol,high,100,task success,0.95,,,95.0,,100,100,0,0,0.3722532,0.3722532,0,1174.777,4745.689,1645.026,4881.459,8268,15267,5746,0,0,0.003918454736842106,
math500,openai.gpt-5.6-sol,high,100,task success,1.0,,,100.0,,100,100,0,0,0.9637584,0.9637584,0,1920.36,17551.168,2639.184,18282.896,9466,41914,27444,0,0,0.009637584,
aime,openai.gpt-5.6-sol,high,60,task success,1.0,,,100.0,,60,60,0,0,3.0302888,3.0302888,0,14021.264,77255.375,17164.965,83647.028,10462,135648,105407,0,0,0.050504813333333336,
gpqa,openai.gpt-5.6-sol,high,198,task success,0.924242,,,92.4242,,198,198,0,0,3.6799939,3.6799939,0,7523.277,43249.118,7536.419,43253.98,45796,157973,156007,0,2805,0.020109256284153006,
mmlu_pro,openai.gpt-5.6-sol,high,140,task success,0.864286,,,86.4286,,140,140,0,0,0.6274268,0.6274268,0,1371.998,6998.851,1377.374,7006.534,29917,22536,21234,0,0,0.005185345454545454,
humaneval,openai.gpt-5.6-sol,high,164,task success,0.993902,,,99.3902,,164,164,0,0,0.836902,0.836902,0,6144.042,17178.18,6711.938,17493.21,28120,32417,16699,0,0,0.005134368098159509,
